1277 PIZ BERNINA, 9.748725 46.441822;9.976326 46.436959;9.971284 46.329068;9.744135 46.333921;9.748725 46.441822
1278 LA ROESA, 9.976326 46.436959;10.203884 46.431639;10.198389 46.323759;9.971284 46.329068;9.976326 46.436959
1280 GEX, 5.879742 46.346657;6.107033 46.349556;6.109673 46.241625;5.882833 46.238732;5.879742 46.346657
1281 COPPET, 6.107033 46.349556;6.334346 46.351999;6.336535 46.244063;6.109673 46.241625;6.107033 46.349556
1282 TEIL THONON, 6.334346 46.351999;6.561678 46.353986;6.563417 46.246046;6.336535 46.244063;6.334346 46.351999
1283 TEIL MONTHEY, 6.561678 46.353986;6.789026 46.355517;6.790313 46.247574;6.563417 46.246046;6.561678 46.353986
1284 MONTHEY, 6.789026 46.355517;7.016384 46.356592;7.017221 46.248646;6.790313 46.247574;6.789026 46.355517
1285 LES DIABLERETS, 7.016384 46.356592;7.24375 46.357211;7.244136 46.249264;7.017221 46.248646;7.016384 46.356592
1286 SAINT-LEONARD, 7.24375 46.357211;7.471119 46.357374;7.471054 46.249427;7.244136 46.249264;7.24375 46.357211
1287 SIERRE, 7.471119 46.357374;7.698487 46.357081;7.697972 46.249134;7.471054 46.249427;7.471119 46.357374
1288 RARON, 7.698487 46.357081;7.925851 46.356332;7.924885 46.248386;7.697972 46.249134;7.698487 46.357081
1289 BRIG, 7.925851 46.356332;8.153207 46.355126;8.15179 46.247184;7.924885 46.248386;7.925851 46.356332
1290 HELSENHORN, 8.153207 46.355126;8.38055 46.353465;8.378683 46.245526;8.15179 46.247184;8.153207 46.355126
1291 BOSCO/GURIN, 8.38055 46.353465;8.607877 46.351348;8.605559 46.243413;8.378683 46.245526;8.38055 46.353465
1292 MAGGIA, 8.607877 46.351348;8.835184 46.348775;8.832416 46.240845;8.605559 46.243413;8.607877 46.351348
1293 OSOGNA, 8.835184 46.348775;9.062468 46.345745;9.059248 46.237821;8.832416 46.240845;8.835184 46.348775
1294 GRONO, 9.062468 46.345745;9.289723 46.34226;9.286053 46.234343;9.059248 46.237821;9.062468 46.345745
1295 TEIL GRONO / SCIORA, 9.289723 46.34226;9.516947 46.338319;9.512826 46.23041;9.286053 46.234343;9.289723 46.34226
1296 SCIORA, 9.516947 46.338319;9.744135 46.333921;9.739563 46.226021;9.512826 46.23041;9.516947 46.338319
1298 LAGO DI POSCHIAVO, 9.971284 46.329068;10.198389 46.323759;10.192916 46.215879;9.966261 46.221177;9.971284 46.329068
1300 CHANCY, 5.882833 46.238732;6.109673 46.241625;6.112302 46.133694;5.885911 46.130806;5.882833 46.238732
1301 GENEVE, 6.109673 46.241625;6.336535 46.244063;6.338716 46.136127;6.112302 46.133694;6.109673 46.241625
1304 VAL D'ILLIEZ, 6.790313 46.247574;7.017221 46.248646;7.018055 46.140701;6.791596 46.139631;6.790313 46.247574
1305 DENT DE MORCLES, 7.017221 46.248646;7.244136 46.249264;7.244521 46.141318;7.018055 46.140701;7.017221 46.248646
1306 SION, 7.244136 46.249264;7.471054 46.249427;7.47099 46.14148;7.244521 46.141318;7.244136 46.249264
